Co,VOC,Temp,Hum,Label
89,288,26.22,64.04,0
89,269,26.23,64.06,0
40,276,26.22,64.04,0
75,274,26.22,64.06,0
68,262,26.25,64.02,0
64,259,26.23,64.11,0
65,259,26.24,64.04,0
55,252,26.24,64.07,0
51,257,26.23,64.07,0
51,249,26.24,64.1,0
48,255,26.24,64.11,0
42,249,26.24,64.12,0
54,246,26.23,64.09,0
40,244,26.24,64.1,0
37,244,26.24,64.14,0
38,238,26.25,64.11,0
38,238,26.24,64.12,0
33,246,26.24,64.15,0
35,234,26.25,64.1,0
47,233,26.24,64.15,0
34,232,26.24,64.15,0
32,231,26.26,64.13,0
29,232,26.24,64.16,0
33,228,26.24,64.15,0
32,230,26.25,64.17,0
32,228,26.24,64.13,0
33,233,26.25,64.16,0
31,235,26.27,64.14,0
28,234,26.26,64.22,0
27,225,26.26,64.24,0
31,225,26.26,64.25,0
28,228,26.26,64.23,0
29,227,26.28,64.2,0
27,229,26.27,64.25,0
31,227,26.29,64.25,0
27,227,26.26,64.27,0
31,225,26.28,64.26,0
27,230,26.27,64.29,0
27,229,26.27,64.27,0
30,238,26.27,64.29,0
33,235,26.26,64.24,0
27,230,26.27,64.26,0
25,232,26.29,64.27,0
32,231,26.28,64.26,0
26,228,26.27,64.29,0
44,227,26.28,64.29,0
22,227,26.27,64.36,0
28,225,26.28,64.33,0
33,228,26.29,64.3,0
25,231,26.28,64.37,0
27,226,26.28,64.33,0
23,217,26.27,64.34,0
25,224,26.28,64.34,0
27,228,26.29,64.34,0
25,227,26.28,64.34,0
23,253,26.29,64.33,0
47,236,26.29,64.36,0
22,253,26.28,64.36,0
27,238,26.27,64.36,0
27,242,26.28,64.34,0
26,240,26.29,64.37,0
24,240,26.3,64.34,0
27,241,26.27,64.33,0
25,247,26.29,64.35,0
24,239,26.28,64.38,0
42,246,26.29,64.39,0
26,237,26.3,64.36,0
26,244,26.29,64.36,0
13,244,26.29,64.36,0
27,246,26.28,64.37,0
23,238,26.3,64.41,0
13,256,26.28,64.41,0
25,253,26.3,64.42,0
31,258,26.29,64.37,0
